claim_sk,claim_id,policy_sk,vehicle_sk,date_sk,date,year,quarter,month,month_name,week,financial_year,policy_type,coverage_type,policy_status,policy_tenure_band,make,model,segment,fuel_type,vehicle_age_band,premium_vehicle,safety_rating,claim_amount,claim_amount_band,claim_flag,claim_approved,claim_severity,fraud_risk,settlement_days,settlement_band,claim_count,paid_claim,high_fraud,high_severity,fast_settlement,delayed_settlement
7537,CLM107536,7537,7537,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Gold,Active,6-12 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7538,CLM107537,7538,7538,20260113,2026-01-13,2026,1,1,January,3,2025-2026,Third Party,Silver,Active,> 12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7539,CLM107538,7539,7539,20261122,2026-11-22,2026,4,11,November,47,2026-2027,Third Party,Silver,Cancelled,6-12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7540,CLM107539,7540,7540,20250930,2025-09-30,2025,3,9,September,40,2025-2026,Comprehensive,Basic,Active,6-12 Months,1,M8,B1,CNG,New,False,Poor,112057,Very High,1.0,True,High,Low,19,Delayed,1,True,0,1,0,1
7541,CLM107540,7541,7541,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Basic,Active,< 6 Months,2,M3,A,Petrol,New,False,Poor,33023,Medium,1.0,True,Medium,Low,29,Delayed,1,True,0,0,0,1
7542,CLM107541,7542,7542,20250406,2025-04-06,2025,2,4,April,14,2025-2026,Third Party,Silver,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7543,CLM107542,7543,7543,20260222,2026-02-22,2026,1,2,February,8,2025-2026,Third Party,Silver,Active,6-12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7544,CLM107543,7544,7544,20261027,2026-10-27,2026,4,10,October,44,2026-2027,Comprehensive,Gold,Active,6-12 Months,4,M5,B2,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7545,CLM107544,7545,7545,20260306,2026-03-06,2026,1,3,March,10,2025-2026,Comprehensive,Gold,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7546,CLM107545,7546,7546,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Silver,Active,> 12 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7547,CLM107546,7547,7547,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Silver,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7548,CLM107547,7548,7548,20250930,2025-09-30,2025,3,9,September,40,2025-2026,Third Party,Silver,Active,6-12 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7549,CLM107548,7549,7549,20261020,2026-10-20,2026,4,10,October,43,2026-2027,Comprehensive,Basic,Active,> 12 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7550,CLM107549,7550,7550,20260101,2026-01-01,2026,1,1,January,1,2025-2026,Third Party,Gold,Active,6-12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7551,CLM107550,7551,7551,20250922,2025-09-22,2025,3,9,September,39,2025-2026,Comprehensive,Gold,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7552,CLM107551,7552,7552,20260608,2026-06-08,2026,2,6,June,24,2026-2027,Comprehensive,Gold,Active,< 6 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7553,CLM107552,7553,7553,20260505,2026-05-05,2026,2,5,May,19,2026-2027,Comprehensive,Silver,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7554,CLM107553,7554,7554,20260531,2026-05-31,2026,2,5,May,22,2026-2027,Third Party,Basic,Expired,6-12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7555,CLM107554,7555,7555,20260113,2026-01-13,2026,1,1,January,3,2025-2026,Comprehensive,Silver,Active,> 12 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7556,CLM107555,7556,7556,20260503,2026-05-03,2026,2,5,May,18,2026-2027,Third Party,Silver,Active,> 12 Months,1,M6,B2,Petrol,New,False,Poor,137084,Very High,1.0,True,High,Low,12,Delayed,1,True,0,1,0,1
7557,CLM107556,7557,7557,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Silver,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7558,CLM107557,7558,7558,20251211,2025-12-11,2025,4,12,December,50,2025-2026,Comprehensive,Silver,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7559,CLM107558,7559,7559,20261028,2026-10-28,2026,4,10,October,44,2026-2027,Third Party,Basic,Active,> 12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7560,CLM107559,7560,7560,20260423,2026-04-23,2026,2,4,April,17,2026-2027,Comprehensive,Basic,Active,< 6 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7561,CLM107560,7561,7561,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Basic,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7562,CLM107561,7562,7562,20260427,2026-04-27,2026,2,4,April,18,2026-2027,Comprehensive,Basic,Active,6-12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7563,CLM107562,7563,7563,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Basic,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7564,CLM107563,7564,7564,20261016,2026-10-16,2026,4,10,October,42,2026-2027,Comprehensive,Basic,Active,6-12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7565,CLM107564,7565,7565,20251210,2025-12-10,2025,4,12,December,50,2025-2026,Comprehensive,Gold,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7566,CLM107565,7566,7566,20260619,2026-06-19,2026,2,6,June,25,2026-2027,Third Party,Silver,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7567,CLM107566,7567,7567,20261025,2026-10-25,2026,4,10,October,43,2026-2027,Third Party,Gold,Active,6-12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7568,CLM107567,7568,7568,20260525,2026-05-25,2026,2,5,May,22,2026-2027,Third Party,Basic,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7569,CLM107568,7569,7569,20260101,2026-01-01,2026,1,1,January,1,2025-2026,Comprehensive,Silver,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7570,CLM107569,7570,7570,20250406,2025-04-06,2025,2,4,April,14,2025-2026,Comprehensive,Basic,Expired,> 12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7571,CLM107570,7571,7571,20261031,2026-10-31,2026,4,10,October,44,2026-2027,Comprehensive,Basic,Active,6-12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7572,CLM107571,7572,7572,20250812,2025-08-12,2025,3,8,August,33,2025-2026,Comprehensive,Basic,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7573,CLM107572,7573,7573,20251030,2025-10-30,2025,4,10,October,44,2025-2026,Comprehensive,Silver,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7574,CLM107573,7574,7574,20261109,2026-11-09,2026,4,11,November,46,2026-2027,Comprehensive,Silver,Active,< 6 Months,5,M9,C1,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7575,CLM107574,7575,7575,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Basic,Active,> 12 Months,1,M7,B2,Petrol,New,False,Average,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7576,CLM107575,7576,7576,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Basic,Active,6-12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7577,CLM107576,7577,7577,20261124,2026-11-24,2026,4,11,November,48,2026-2027,Third Party,Gold,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7578,CLM107577,7578,7578,20260121,2026-01-21,2026,1,1,January,4,2025-2026,Third Party,Silver,Active,6-12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7579,CLM107578,7579,7579,20251003,2025-10-03,2025,4,10,October,40,2025-2026,Third Party,Silver,Active,< 6 Months,5,M9,C1,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7580,CLM107579,7580,7580,20260107,2026-01-07,2026,1,1,January,2,2025-2026,Third Party,Basic,Active,6-12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7581,CLM107580,7581,7581,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Silver,Active,6-12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7582,CLM107581,7582,7582,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Gold,Active,< 6 Months,1,M7,B2,Petrol,New,False,Average,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7583,CLM107582,7583,7583,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Basic,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7584,CLM107583,7584,7584,20250525,2025-05-25,2025,2,5,May,21,2025-2026,Comprehensive,Basic,Active,> 12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7585,CLM107584,7585,7585,20260816,2026-08-16,2026,3,8,August,33,2026-2027,Comprehensive,Silver,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7586,CLM107585,7586,7586,20251123,2025-11-23,2025,4,11,November,47,2025-2026,Comprehensive,Gold,Active,6-12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7587,CLM107586,7587,7587,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Silver,Active,> 12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7588,CLM107587,7588,7588,20260803,2026-08-03,2026,3,8,August,32,2026-2027,Comprehensive,Silver,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7589,CLM107588,7589,7589,20260127,2026-01-27,2026,1,1,January,5,2025-2026,Comprehensive,Silver,Expired,> 12 Months,4,M5,B2,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7590,CLM107589,7590,7590,20260621,2026-06-21,2026,2,6,June,25,2026-2027,Third Party,Gold,Active,> 12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7591,CLM107590,7591,7591,20250520,2025-05-20,2025,2,5,May,21,2025-2026,Comprehensive,Basic,Active,6-12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7592,CLM107591,7592,7592,20260909,2026-09-09,2026,3,9,September,37,2026-2027,Third Party,Silver,Cancelled,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7593,CLM107592,7593,7593,20260519,2026-05-19,2026,2,5,May,21,2026-2027,Comprehensive,Silver,Expired,> 12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7594,CLM107593,7594,7594,20261119,2026-11-19,2026,4,11,November,47,2026-2027,Comprehensive,Basic,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7595,CLM107594,7595,7595,20261202,2026-12-02,2026,4,12,December,49,2026-2027,Comprehensive,Basic,Active,< 6 Months,5,M9,C1,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7596,CLM107595,7596,7596,20250711,2025-07-11,2025,3,7,July,28,2025-2026,Comprehensive,Silver,Active,> 12 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7597,CLM107596,7597,7597,20260427,2026-04-27,2026,2,4,April,18,2026-2027,Comprehensive,Gold,Active,6-12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7598,CLM107597,7598,7598,20251214,2025-12-14,2025,4,12,December,50,2025-2026,Third Party,Basic,Active,> 12 Months,2,M3,A,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7599,CLM107598,7599,7599,20260601,2026-06-01,2026,2,6,June,23,2026-2027,Comprehensive,Gold,Active,< 6 Months,5,M9,C1,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7600,CLM107599,7600,7600,20260602,2026-06-02,2026,2,6,June,23,2026-2027,Comprehensive,Gold,Active,< 6 Months,1,M10,Utility,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7601,CLM107600,7601,7601,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Gold,Active,6-12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7602,CLM107601,7602,7602,20261102,2026-11-02,2026,4,11,November,45,2026-2027,Comprehensive,Silver,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7603,CLM107602,7603,7603,20251209,2025-12-09,2025,4,12,December,50,2025-2026,Comprehensive,Gold,Active,6-12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7604,CLM107603,7604,7604,20261031,2026-10-31,2026,4,10,October,44,2026-2027,Third Party,Gold,Active,< 6 Months,2,M3,A,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7605,CLM107604,7605,7605,20250419,2025-04-19,2025,2,4,April,16,2025-2026,Comprehensive,Gold,Active,6-12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7606,CLM107605,7606,7606,20250613,2025-06-13,2025,2,6,June,24,2025-2026,Comprehensive,Silver,Active,6-12 Months,1,M7,B2,Petrol,New,False,Average,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7607,CLM107606,7607,7607,20260426,2026-04-26,2026,2,4,April,17,2026-2027,Third Party,Basic,Active,< 6 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7608,CLM107607,7608,7608,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Gold,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7609,CLM107608,7609,7609,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Silver,Active,< 6 Months,2,M3,A,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7610,CLM107609,7610,7610,20260913,2026-09-13,2026,3,9,September,37,2026-2027,Comprehensive,Silver,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7611,CLM107610,7611,7611,20251115,2025-11-15,2025,4,11,November,46,2025-2026,Comprehensive,Silver,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7612,CLM107611,7612,7612,20260210,2026-02-10,2026,1,2,February,7,2025-2026,Comprehensive,Basic,Active,6-12 Months,1,M7,B2,Petrol,New,False,Average,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7613,CLM107612,7613,7613,20261124,2026-11-24,2026,4,11,November,48,2026-2027,Third Party,Silver,Active,6-12 Months,5,M9,C1,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7614,CLM107613,7614,7614,20260910,2026-09-10,2026,3,9,September,37,2026-2027,Comprehensive,Basic,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7615,CLM107614,7615,7615,20250801,2025-08-01,2025,3,8,August,31,2025-2026,Comprehensive,Silver,Active,< 6 Months,2,M3,A,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7616,CLM107615,7616,7616,20260817,2026-08-17,2026,3,8,August,34,2026-2027,Third Party,Gold,Active,< 6 Months,1,M7,B2,Petrol,New,False,Average,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7617,CLM107616,7617,7617,20250507,2025-05-07,2025,2,5,May,19,2025-2026,Comprehensive,Gold,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7618,CLM107617,7618,7618,20260804,2026-08-04,2026,3,8,August,32,2026-2027,Third Party,Gold,Active,6-12 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7619,CLM107618,7619,7619,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Basic,Expired,< 6 Months,1,M2,C1,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7620,CLM107619,7620,7620,20260702,2026-07-02,2026,3,7,July,27,2026-2027,Comprehensive,Gold,Active,6-12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7621,CLM107620,7621,7621,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Gold,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7622,CLM107621,7622,7622,20250328,2025-03-28,2025,1,3,March,13,2024-2025,Comprehensive,Silver,Active,< 6 Months,2,M3,A,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7623,CLM107622,7623,7623,20260519,2026-05-19,2026,2,5,May,21,2026-2027,Third Party,Silver,Active,< 6 Months,5,M9,C1,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7624,CLM107623,7624,7624,20260102,2026-01-02,2026,1,1,January,1,2025-2026,Comprehensive,Gold,Active,6-12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7625,CLM107624,7625,7625,20260810,2026-08-10,2026,3,8,August,33,2026-2027,Comprehensive,Silver,Active,> 12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7626,CLM107625,7626,7626,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Basic,Active,6-12 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7627,CLM107626,7627,7627,20260629,2026-06-29,2026,2,6,June,27,2026-2027,Comprehensive,Basic,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7628,CLM107627,7628,7628,20251101,2025-11-01,2025,4,11,November,44,2025-2026,Comprehensive,Silver,Active,> 12 Months,1,M7,B2,Petrol,New,False,Average,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7629,CLM107628,7629,7629,20261210,2026-12-10,2026,4,12,December,50,2026-2027,Comprehensive,Silver,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7630,CLM107629,7630,7630,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Gold,Active,> 12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7631,CLM107630,7631,7631,20260728,2026-07-28,2026,3,7,July,31,2026-2027,Comprehensive,Gold,Active,6-12 Months,3,M4,C2,Diesel,New,True,Good,54753,High,1.0,True,High,Low,19,Delayed,1,True,0,1,0,1
7632,CLM107631,7632,7632,20260201,2026-02-01,2026,1,2,February,5,2025-2026,Comprehensive,Silver,Active,> 12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7633,CLM107632,7633,7633,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Silver,Active,> 12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7634,CLM107633,7634,7634,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Silver,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7635,CLM107634,7635,7635,20251104,2025-11-04,2025,4,11,November,45,2025-2026,Comprehensive,Gold,Active,6-12 Months,5,M9,C1,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7636,CLM107635,7636,7636,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Basic,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7637,CLM107636,7637,7637,20261215,2026-12-15,2026,4,12,December,51,2026-2027,Third Party,Basic,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7638,CLM107637,7638,7638,20261005,2026-10-05,2026,4,10,October,41,2026-2027,Third Party,Gold,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7639,CLM107638,7639,7639,20251231,2025-12-31,2025,4,12,December,1,2025-2026,Third Party,Basic,Expired,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7640,CLM107639,7640,7640,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Basic,Active,6-12 Months,1,M10,Utility,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7641,CLM107640,7641,7641,20260923,2026-09-23,2026,3,9,September,39,2026-2027,Third Party,Silver,Active,6-12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7642,CLM107641,7642,7642,20260514,2026-05-14,2026,2,5,May,20,2026-2027,Comprehensive,Basic,Active,6-12 Months,1,M2,C1,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7643,CLM107642,7643,7643,20260505,2026-05-05,2026,2,5,May,19,2026-2027,Comprehensive,Silver,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7644,CLM107643,7644,7644,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Gold,Active,> 12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7645,CLM107644,7645,7645,20251109,2025-11-09,2025,4,11,November,45,2025-2026,Comprehensive,Silver,Expired,6-12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7646,CLM107645,7646,7646,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Silver,Active,> 12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7647,CLM107646,7647,7647,20260414,2026-04-14,2026,2,4,April,16,2026-2027,Third Party,Basic,Active,< 6 Months,5,M9,C1,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7648,CLM107647,7648,7648,20260402,2026-04-02,2026,2,4,April,14,2026-2027,Comprehensive,Basic,Active,6-12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7649,CLM107648,7649,7649,20260131,2026-01-31,2026,1,1,January,5,2025-2026,Comprehensive,Silver,Active,< 6 Months,2,M3,A,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7650,CLM107649,7650,7650,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Silver,Active,< 6 Months,1,M7,B2,Petrol,New,False,Average,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7651,CLM107650,7651,7651,20260415,2026-04-15,2026,2,4,April,16,2026-2027,Comprehensive,Gold,Expired,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7652,CLM107651,7652,7652,20260616,2026-06-16,2026,2,6,June,25,2026-2027,Comprehensive,Basic,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7653,CLM107652,7653,7653,20260124,2026-01-24,2026,1,1,January,4,2025-2026,Third Party,Basic,Active,> 12 Months,1,M7,B2,Petrol,New,False,Average,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
7654,CLM107653,7654,7654,20251004,2025-10-04,2025,4,10,October,40,2025-2026,Comprehensive,Gold,Active,6-12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
