underwriting_sk,policy_sk,customer_sk,vehicle_sk,policy_type,coverage_type,policy_status,make,model,segment,fuel_type,vehicle_age_band,risk_score,risk_band,fraud_probability,underwriting_decision,manual_review_flag,auto_approved_flag,rejected_flag,stp_flag,review_time_minutes,premium_adjustment_pct,rules_triggered,ai_confidence,processing_mode,underwriter,sla_status,sla_breached_flag,high_risk_flag,fraud_flag,recommendation,model_version,underwriting_date_sk
31760,31760,31760,31760,Comprehensive,Silver,Active,1,M6,B2,Petrol,New,56,Medium,0.56,Manual Review,1,0,0,0,74,13,6,77.33,Manual,Priya,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20221205
31761,31761,31761,31761,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,46,Medium,0.46,Manual Review,1,0,0,0,89,0,3,80.59,Manual,Alice,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20220216
31762,31762,31762,31762,Comprehensive,Basic,Active,1,M8,B1,CNG,New,25,Low,0.25,Approved,0,1,0,1,5,-5,1,89.26,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20240330
31763,31763,31763,31763,Third Party,Silver,Active,3,M4,C2,Diesel,New,34,Medium,0.34,Approved,0,1,0,1,7,-2,5,76.76,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20240901
31764,31764,31764,31764,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,67,High,0.67,Manual Review,1,0,0,0,81,2,3,99.78,Manual,Alice,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.0,20241216
31765,31765,31765,31765,Comprehensive,Gold,Active,1,M1,A,CNG,New,42,Medium,0.42,Manual Review,1,0,0,0,26,6,2,94.35,Manual,Alice,Within SLA,0,0,0,Refer Underwriter,UW_AI_v2.0,20250103
31766,31766,31766,31766,Third Party,Gold,Active,1,M8,B1,CNG,New,46,Medium,0.46,Manual Review,1,0,0,0,31,3,4,89.64,Manual,Alice,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20250701
31767,31767,31767,31767,Comprehensive,Gold,Active,1,M8,B1,CNG,New,98,Very High,0.98,Rejected,0,0,1,1,9,22,1,86.0,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20240416
31768,31768,31768,31768,Third Party,Gold,Active,1,M1,A,CNG,New,30,Medium,0.3,Approved,0,1,0,1,7,3,6,86.72,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20240809
31769,31769,31769,31769,Comprehensive,Gold,Expired,1,M6,B2,Petrol,New,10,Low,0.1,Approved,0,1,0,1,5,0,7,81.43,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20230821
31770,31770,31770,31770,Comprehensive,Silver,Active,3,M4,C2,Diesel,New,91,Very High,0.91,Rejected,0,0,1,1,18,26,6,88.81,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20220619
31771,31771,31771,31771,Comprehensive,Gold,Expired,3,M4,C2,Diesel,New,11,Low,0.11,Approved,0,1,0,1,4,-8,3,90.22,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20250315
31772,31772,31772,31772,Third Party,Basic,Active,1,M1,A,CNG,New,97,Very High,0.97,Rejected,0,0,1,1,22,29,4,99.8,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20240418
31773,31773,31773,31773,Comprehensive,Silver,Active,1,M1,A,CNG,New,24,Low,0.24,Approved,0,1,0,1,2,-10,5,82.23,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20241122
31774,31774,31774,31774,Third Party,Silver,Active,1,M6,B2,Petrol,New,79,High,0.79,Rejected,0,0,1,1,6,34,4,87.21,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20240306
31775,31775,31775,31775,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,10,Low,0.1,Approved,0,1,0,1,7,4,5,96.19,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20250704
31776,31776,31776,31776,Comprehensive,Basic,Active,1,M1,A,CNG,New,88,Very High,0.88,Rejected,0,0,1,1,7,19,1,94.45,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20250223
31777,31777,31777,31777,Third Party,Gold,Active,2,M3,A,Petrol,New,54,Medium,0.54,Manual Review,1,0,0,0,38,5,6,77.36,Manual,David,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.0,20240816
31778,31778,31778,31778,Third Party,Basic,Active,3,M4,C2,Diesel,New,31,Medium,0.31,Approved,0,1,0,1,6,-2,2,78.77,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20250210
31779,31779,31779,31779,Comprehensive,Gold,Active,3,M4,C2,Diesel,New,98,Very High,0.98,Rejected,0,0,1,1,20,22,3,78.21,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20240325
31780,31780,31780,31780,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,84,Very High,0.84,Rejected,0,0,1,1,15,27,4,82.09,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20221208
31781,31781,31781,31781,Comprehensive,Silver,Active,1,M6,B2,Petrol,New,52,Medium,0.52,Manual Review,1,0,0,0,34,5,6,83.93,Manual,Rahul,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20220217
31782,31782,31782,31782,Third Party,Basic,Active,1,M6,B2,Petrol,New,37,Medium,0.37,Manual Review,1,0,0,0,72,5,5,79.72,Manual,Priya,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20221230
31783,31783,31783,31783,Comprehensive,Silver,Active,3,M4,C2,Diesel,New,83,Very High,0.83,Rejected,0,0,1,1,14,24,4,87.51,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20251122
31784,31784,31784,31784,Third Party,Gold,Expired,3,M4,C2,Diesel,New,89,Very High,0.89,Rejected,0,0,1,1,12,33,5,79.73,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20250503
31785,31785,31785,31785,Comprehensive,Silver,Active,3,M4,C2,Diesel,New,58,Medium,0.58,Manual Review,1,0,0,0,77,9,6,87.5,Manual,Priya,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20231226
31786,31786,31786,31786,Comprehensive,Gold,Active,1,M7,B2,Petrol,New,5,Low,0.05,Approved,0,1,0,1,4,0,5,83.37,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20250906
31787,31787,31787,31787,Comprehensive,Silver,Active,1,M2,C1,Petrol,New,30,Medium,0.3,Approved,0,1,0,1,3,0,3,90.39,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20220518
31788,31788,31788,31788,Third Party,Basic,Active,3,M4,C2,Diesel,New,95,Very High,0.95,Rejected,0,0,1,1,16,29,5,86.99,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20221221
31789,31789,31789,31789,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,85,Very High,0.85,Rejected,0,0,1,1,13,30,3,94.8,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20241229
31790,31790,31790,31790,Third Party,Gold,Active,1,M1,A,CNG,New,68,High,0.68,Manual Review,1,0,0,0,68,1,7,82.57,Manual,Alice,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.1,20240321
31791,31791,31791,31791,Comprehensive,Silver,Active,1,M6,B2,Petrol,New,64,High,0.64,Manual Review,1,0,0,0,59,11,6,82.1,Manual,John,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.1,20231213
31792,31792,31792,31792,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,19,Low,0.19,Approved,0,1,0,1,6,-6,2,94.23,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20220228
31793,31793,31793,31793,Third Party,Silver,Expired,1,M6,B2,Petrol,New,26,Low,0.26,Approved,0,1,0,1,2,0,6,78.76,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20240210
31794,31794,31794,31794,Third Party,Silver,Active,1,M1,A,CNG,New,30,Medium,0.3,Approved,0,1,0,1,7,-7,2,93.49,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20230124
31795,31795,31795,31795,Third Party,Gold,Active,1,M1,A,CNG,New,13,Low,0.13,Approved,0,1,0,1,7,-2,1,98.36,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20251006
31796,31796,31796,31796,Comprehensive,Silver,Active,1,M1,A,CNG,New,37,Medium,0.37,Manual Review,1,0,0,0,45,1,4,77.05,Manual,David,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.0,20240425
31797,31797,31797,31797,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,64,High,0.64,Manual Review,1,0,0,0,42,6,6,93.86,Manual,Priya,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.0,20240518
31798,31798,31798,31798,Comprehensive,Gold,Active,1,M7,B2,Petrol,New,63,High,0.63,Manual Review,1,0,0,0,40,13,7,88.31,Manual,John,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.1,20221205
31799,31799,31799,31799,Third Party,Basic,Expired,1,M1,A,CNG,New,15,Low,0.15,Approved,0,1,0,1,2,-2,1,79.44,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20240127
31800,31800,31800,31800,Comprehensive,Silver,Active,1,M6,B2,Petrol,New,23,Low,0.23,Approved,0,1,0,1,6,-1,3,90.58,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20230819
31801,31801,31801,31801,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,25,Low,0.25,Approved,0,1,0,1,4,2,1,80.07,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20230312
31802,31802,31802,31802,Comprehensive,Silver,Active,1,M1,A,CNG,New,46,Medium,0.46,Manual Review,1,0,0,0,58,12,6,93.16,Manual,Alice,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20230112
31803,31803,31803,31803,Comprehensive,Silver,Active,2,M3,A,Petrol,New,6,Low,0.06,Approved,0,1,0,1,5,-1,6,94.3,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20230126
31804,31804,31804,31804,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,15,Low,0.15,Approved,0,1,0,1,6,-1,2,84.39,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20230426
31805,31805,31805,31805,Comprehensive,Basic,Active,1,M1,A,CNG,New,55,Medium,0.55,Manual Review,1,0,0,0,81,14,1,91.27,Manual,Rahul,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20240331
31806,31806,31806,31806,Comprehensive,Gold,Active,1,M8,B1,CNG,New,67,High,0.67,Manual Review,1,0,0,0,20,11,5,92.91,Manual,Rahul,Within SLA,0,1,0,Refer Underwriter,UW_AI_v1.0,20220424
31807,31807,31807,31807,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,8,Low,0.08,Approved,0,1,0,1,6,-2,1,88.81,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20240213
31808,31808,31808,31808,Comprehensive,Silver,Expired,1,M2,C1,Petrol,New,12,Low,0.12,Approved,0,1,0,1,2,0,2,91.63,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20220621
31809,31809,31809,31809,Third Party,Silver,Expired,1,M1,A,CNG,New,51,Medium,0.51,Manual Review,1,0,0,0,25,5,6,99.47,Manual,John,Within SLA,0,0,0,Refer Underwriter,UW_AI_v2.0,20220118
31810,31810,31810,31810,Comprehensive,Silver,Active,1,M1,A,CNG,New,13,Low,0.13,Approved,0,1,0,1,6,-8,4,88.75,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20220823
31811,31811,31811,31811,Third Party,Silver,Active,1,M1,A,CNG,New,46,Medium,0.46,Manual Review,1,0,0,0,78,12,4,91.87,Manual,John,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.0,20250826
31812,31812,31812,31812,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,46,Medium,0.46,Manual Review,1,0,0,0,31,13,4,98.25,Manual,Priya,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20231224
31813,31813,31813,31813,Third Party,Silver,Active,2,M3,A,Petrol,New,5,Low,0.05,Approved,0,1,0,1,3,-2,3,95.89,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20221008
31814,31814,31814,31814,Third Party,Silver,Active,1,M8,B1,CNG,New,93,Very High,0.93,Rejected,0,0,1,1,9,16,1,84.76,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20240410
31815,31815,31815,31815,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,9,Low,0.09,Approved,0,1,0,1,7,1,4,93.76,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20250504
31816,31816,31816,31816,Third Party,Silver,Active,1,M8,B1,CNG,New,82,Very High,0.82,Rejected,0,0,1,1,7,18,2,88.12,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20250212
31817,31817,31817,31817,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,77,High,0.77,Rejected,0,0,1,1,16,27,3,79.73,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20251121
31818,31818,31818,31818,Comprehensive,Gold,Active,3,M4,C2,Diesel,New,66,High,0.66,Manual Review,1,0,0,0,75,8,3,82.18,Manual,John,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v2.0,20230222
31819,31819,31819,31819,Comprehensive,Basic,Active,1,M8,B1,CNG,New,21,Low,0.21,Approved,0,1,0,1,5,-6,1,76.18,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20221011
31820,31820,31820,31820,Third Party,Gold,Active,3,M4,C2,Diesel,New,39,Medium,0.39,Manual Review,1,0,0,0,59,2,5,83.54,Manual,Rahul,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20230808
31821,31821,31821,31821,Third Party,Silver,Active,1,M6,B2,Petrol,New,68,High,0.68,Manual Review,1,0,0,0,30,12,3,95.26,Manual,John,Within SLA,0,1,0,Refer Underwriter,UW_AI_v2.0,20250913
31822,31822,31822,31822,Comprehensive,Gold,Active,1,M1,A,CNG,New,94,Very High,0.94,Rejected,0,0,1,1,15,15,1,97.67,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20250926
31823,31823,31823,31823,Comprehensive,Silver,Active,1,M8,B1,CNG,New,38,Medium,0.38,Manual Review,1,0,0,0,67,11,3,96.56,Manual,John,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.0,20230914
31824,31824,31824,31824,Comprehensive,Gold,Active,3,M4,C2,Diesel,New,53,Medium,0.53,Manual Review,1,0,0,0,54,5,1,76.43,Manual,John,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20220809
31825,31825,31825,31825,Comprehensive,Gold,Active,1,M1,A,CNG,New,74,High,0.74,Rejected,0,0,1,1,16,26,7,92.76,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20220109
31826,31826,31826,31826,Comprehensive,Basic,Active,5,M9,C1,Diesel,New,73,High,0.73,Rejected,0,0,1,1,18,22,5,81.3,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20250110
31827,31827,31827,31827,Comprehensive,Gold,Active,3,M4,C2,Diesel,New,16,Low,0.16,Approved,0,1,0,1,7,-5,2,86.88,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20240411
31828,31828,31828,31828,Third Party,Silver,Active,1,M1,A,CNG,New,18,Low,0.18,Approved,0,1,0,1,2,-10,7,92.86,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20250810
31829,31829,31829,31829,Comprehensive,Silver,Active,1,M1,A,CNG,New,14,Low,0.14,Approved,0,1,0,1,4,-8,3,78.0,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20230110
31830,31830,31830,31830,Comprehensive,Silver,Active,1,M1,A,CNG,New,34,Medium,0.34,Approved,0,1,0,1,5,3,7,85.68,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20230618
31831,31831,31831,31831,Third Party,Gold,Active,3,M4,C2,Diesel,New,79,High,0.79,Rejected,0,0,1,1,20,28,3,89.86,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20251209
31832,31832,31832,31832,Third Party,Basic,Active,1,M1,A,CNG,New,80,Very High,0.8,Rejected,0,0,1,1,11,26,2,93.52,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20250127
31833,31833,31833,31833,Comprehensive,Silver,Active,1,M1,A,CNG,New,44,Medium,0.44,Manual Review,1,0,0,0,58,12,7,87.49,Manual,John,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20231203
31834,31834,31834,31834,Comprehensive,Silver,Active,1,M10,Utility,CNG,New,31,Medium,0.31,Approved,0,1,0,1,5,-7,5,86.02,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20240411
31835,31835,31835,31835,Comprehensive,Silver,Active,2,M3,A,Petrol,New,69,High,0.69,Manual Review,1,0,0,0,89,11,1,77.98,Manual,Rahul,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.1,20240216
31836,31836,31836,31836,Comprehensive,Basic,Active,1,M1,A,CNG,New,65,High,0.65,Manual Review,1,0,0,0,48,4,4,90.09,Manual,John,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v2.0,20251106
31837,31837,31837,31837,Comprehensive,Gold,Active,3,M4,C2,Diesel,New,96,Very High,0.96,Rejected,0,0,1,1,6,30,4,76.07,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20240728
31838,31838,31838,31838,Comprehensive,Silver,Active,1,M1,A,CNG,New,57,Medium,0.57,Manual Review,1,0,0,0,84,2,7,77.45,Manual,David,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20230323
31839,31839,31839,31839,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,24,Low,0.24,Approved,0,1,0,1,6,4,7,87.1,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20231111
31840,31840,31840,31840,Third Party,Silver,Active,2,M3,A,Petrol,New,28,Low,0.28,Approved,0,1,0,1,2,-8,6,98.67,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20221210
31841,31841,31841,31841,Comprehensive,Gold,Active,1,M2,C1,Petrol,New,31,Medium,0.31,Approved,0,1,0,1,7,-5,7,76.79,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20230301
31842,31842,31842,31842,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,78,High,0.78,Rejected,0,0,1,1,6,33,4,90.35,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20230917
31843,31843,31843,31843,Comprehensive,Silver,Cancelled,2,M3,A,Petrol,New,95,Very High,0.95,Rejected,0,0,1,1,14,24,7,77.33,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20221102
31844,31844,31844,31844,Third Party,Gold,Active,1,M1,A,CNG,New,38,Medium,0.38,Manual Review,1,0,0,0,20,4,1,98.01,Manual,John,Within SLA,0,0,0,Refer Underwriter,UW_AI_v1.1,20220528
31845,31845,31845,31845,Comprehensive,Silver,Active,1,M6,B2,Petrol,New,27,Low,0.27,Approved,0,1,0,1,7,4,6,94.2,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20240428
31846,31846,31846,31846,Third Party,Basic,Active,1,M2,C1,Petrol,New,20,Low,0.2,Approved,0,1,0,1,2,-1,4,88.59,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20240102
31847,31847,31847,31847,Third Party,Silver,Active,1,M6,B2,Petrol,New,54,Medium,0.54,Manual Review,1,0,0,0,31,1,7,96.21,Manual,David,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20230330
31848,31848,31848,31848,Comprehensive,Silver,Active,1,M6,B2,Petrol,New,28,Low,0.28,Approved,0,1,0,1,3,0,7,88.85,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20240726
31849,31849,31849,31849,Third Party,Silver,Active,1,M2,C1,Petrol,New,68,High,0.68,Manual Review,1,0,0,0,66,1,3,98.1,Manual,Alice,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.0,20220202
31850,31850,31850,31850,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,95,Very High,0.95,Rejected,0,0,1,1,9,28,4,77.32,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20250904
31851,31851,31851,31851,Comprehensive,Silver,Expired,3,M4,C2,Diesel,New,63,High,0.63,Manual Review,1,0,0,0,65,9,5,87.96,Manual,John,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v2.0,20250501
31852,31852,31852,31852,Comprehensive,Basic,Expired,1,M8,B1,CNG,New,41,Medium,0.41,Manual Review,1,0,0,0,37,5,4,81.04,Manual,Priya,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20250418
31853,31853,31853,31853,Third Party,Silver,Active,3,M4,C2,Diesel,New,80,Very High,0.8,Rejected,0,0,1,1,9,18,2,93.94,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20240910
31854,31854,31854,31854,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,61,High,0.61,Manual Review,1,0,0,0,81,4,6,88.13,Manual,Alice,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.1,20230126
31855,31855,31855,31855,Comprehensive,Silver,Active,5,M9,C1,Diesel,New,15,Low,0.15,Approved,0,1,0,1,5,-8,7,78.97,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20221223
31856,31856,31856,31856,Third Party,Basic,Expired,1,M6,B2,Petrol,New,32,Medium,0.32,Approved,0,1,0,1,4,2,4,91.14,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20230727
31857,31857,31857,31857,Comprehensive,Gold,Active,3,M4,C2,Diesel,New,79,High,0.79,Rejected,0,0,1,1,14,26,2,86.62,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20230409
31858,31858,31858,31858,Comprehensive,Basic,Active,1,M7,B2,Petrol,New,99,Very High,0.99,Rejected,0,0,1,1,8,29,1,96.03,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20240718
31859,31859,31859,31859,Third Party,Basic,Active,3,M4,C2,Diesel,New,98,Very High,0.98,Rejected,0,0,1,1,24,33,7,78.21,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20220409
31860,31860,31860,31860,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,26,Low,0.26,Approved,0,1,0,1,3,-6,3,94.43,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20220528
31861,31861,31861,31861,Comprehensive,Silver,Active,3,M4,C2,Diesel,New,12,Low,0.12,Approved,0,1,0,1,2,-5,2,97.96,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20230724
31862,31862,31862,31862,Third Party,Silver,Active,1,M1,A,CNG,New,62,High,0.62,Manual Review,1,0,0,0,66,1,4,85.21,Manual,Rahul,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v2.0,20231228
31863,31863,31863,31863,Comprehensive,Basic,Active,1,M8,B1,CNG,New,7,Low,0.07,Approved,0,1,0,1,4,-2,4,94.6,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20250901
31864,31864,31864,31864,Third Party,Silver,Active,1,M6,B2,Petrol,New,23,Low,0.23,Approved,0,1,0,1,3,-10,5,77.07,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20240928
31865,31865,31865,31865,Third Party,Basic,Active,1,M10,Utility,CNG,New,90,Very High,0.9,Rejected,0,0,1,1,12,22,4,99.23,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20250420
31866,31866,31866,31866,Comprehensive,Gold,Active,1,M1,A,CNG,New,71,High,0.71,Rejected,0,0,1,1,23,31,5,76.57,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20221030
31867,31867,31867,31867,Comprehensive,Gold,Active,3,M4,C2,Diesel,New,26,Low,0.26,Approved,0,1,0,1,5,2,4,92.81,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20220104
31868,31868,31868,31868,Comprehensive,Silver,Active,3,M4,C2,Diesel,New,17,Low,0.17,Approved,0,1,0,1,7,-3,1,97.05,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20240217
31869,31869,31869,31869,Third Party,Silver,Active,3,M4,C2,Diesel,New,37,Medium,0.37,Manual Review,1,0,0,0,57,13,7,85.52,Manual,David,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20220417
31870,31870,31870,31870,Comprehensive,Silver,Expired,1,M1,A,CNG,New,19,Low,0.19,Approved,0,1,0,1,6,-8,3,78.69,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20220316
31871,31871,31871,31871,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,73,High,0.73,Rejected,0,0,1,1,24,15,3,86.53,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20241129
31872,31872,31872,31872,Comprehensive,Silver,Active,1,M6,B2,Petrol,New,15,Low,0.15,Approved,0,1,0,1,4,-8,7,98.05,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20231001
31873,31873,31873,31873,Comprehensive,Basic,Active,1,M1,A,CNG,New,38,Medium,0.38,Manual Review,1,0,0,0,72,14,7,89.53,Manual,Priya,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20231126
31874,31874,31874,31874,Third Party,Basic,Active,3,M4,C2,Diesel,New,98,Very High,0.98,Rejected,0,0,1,1,6,19,3,81.51,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20250216
31875,31875,31875,31875,Third Party,Gold,Active,1,M8,B1,CNG,New,65,High,0.65,Manual Review,1,0,0,0,24,1,5,78.57,Manual,John,Within SLA,0,1,0,Refer Underwriter,UW_AI_v1.1,20220314
